smiles
B.CC(=O)OC1CN2CCC1CC2
BC#N.BC#N.CN(C)CCCCCCCCCCCCCCN(C)C
BC#N.BC#N.CN(C)CCCCCCCCCCCCN(C)C
BC#N.BC#N.CN(C)CCCCCCCCCCN(C)C
BC#N.C=CCCCCN(C)C
BC#N.C=CCCN(C)C
BC#N.CCCCCCC(C)(O)CN(C)C
BC#N.CCCCCCCCCC(O)CN(C)C
BC#N.CCCCCCCCCCC(O)CN(C)C
BC#N.CCCCCCCCCCCCCCCCCN(C)C
BC#N.CCCCCCCCCCCCCCCN(C)C
BC#N.CCCCCCCCCCCCCN(C)C
BC#N.CCCCCCCCCCCCN(C)C
BC#N.CCCCCCCCCCCN(C)C
BC#N.CCCCCCCCCN(C)C
BC#N.CCCCCN(C)C
BC#N.CCCCN(C)C
BC#N.CCN(C)C
BC#N.CN(C)C
BC#N.CN(C)CC(O)c1ccccc1
BC#N.CN(C)CC1(O)C=CCC1
BC#N.CN(C)CCCCCCN1CCc2cc(Cl)c(O)cc2C(c2ccccc2)C1
BC#N.CN(C)C[Si](C)(C)C
BC(=O)O.BC(=O)O.CN(C)CCCCCCCCCCN(C)C
BOP(=O)(O)COCCn1cnc2c(N)ncnc21
BOP(=O)(O)CO[C@H](C)Cn1cnc2c(N)ncnc21
BP(=O)(COCCn1cnc2c(N)ncnc21)OP(=O)(O)OP(=O)(O)O
BP(=O)(CO[C@H](C)Cn1cnc2c(N)ncnc21)OP(=O)(O)OP(=O)(O)O
BP(=O)(O)CC[C@@H]1C=C[C@H](n2cc(C)c(=O)[nH]c2=O)O1
BP(=O)(O)CC[C@H]1O[C@@H](n2cc(C)c(=O)[nH]c2=O)C[C@@H]1N=[N+]=[N-]
BP(=O)(OC[C@@H]1C=C[C@H](n2cc(C)c(=O)[nH]c2=O)O1)OP(=O)(O)C(F)(F)P(=O)(O)O
BP(=O)(OC[C@@H]1C=C[C@H](n2cnc3c(O)nc(N)nc32)C1)OP(=O)(O)C(F)(F)P(=O)(O)O
BP(=O)(OC[C@@H]1CC[C@H](n2cc(C)c(=O)[nH]c2=O)O1)OP(=O)(O)C(F)(F)P(=O)(O)O
BP(=O)(OC[C@@H]1CC[C@H](n2ccc(=O)[nH]c2=O)O1)OP(=O)(O)C(F)(F)P(=O)(O)O
BP(=O)(OC[C@@H]1CC[C@H](n2ccc(N)nc2=O)O1)OP(=O)(O)C(F)(F)P(=O)(O)O
BP(=O)(OC[C@@H]1CC[C@H](n2cnc3c(N)ncnc32)O1)OP(=O)(O)C(F)(F)P(=O)(O)O
